Name	Time	Deadline	Relative Event	Heading	Automatic	Manual	Essential	Sound	Slow
Startup Checklist	0	10	BACKUP_CREW_PRELAUNCH	Launch Checklists	1	1	0		0
Backup Crew Prelaunch Checklist	0	10	BACKUP_CREW_PRELAUNCH		1	1	0		0
Prime Crew Prelaunch Checklist	0	10	PRIME_CREW_PRELAUNCH		1	1	0		0
Launch Checklist	-1200	10	MISSION_TIME		1	1	0		0
									
CSM-LV-Separation	0	10	CSM_LV_SEPARATION		1	1	0		0
Flightplan	1800	10	MISSION_TIME	Flightplans	1	1	0		0
Deorbit Preparations	0	10			1	1	0		0
SPS Deorbit	0	10			1	1	0		0
CM-SM-Separation	0	10	CM_SM_SEPARATION	Entry/Landing Checklists	1	1	0		0
Splashdown	0	10	SPLASHDOWN		1	1	0		0
G&N Power Up	0	10		G&C System Management	1	1	0		0
G&N Power Down	0	10			1	1	0		0
IMU Power Up	0	10			1	1	0		0
IMU Power Down	0	10			1	1	0		0
SCS Power Up	0	10			1	1	0		0
SCS Power Down	0	10			1	1	0		0
OSS Power Up	0	10			1	1	0		0
OSS Power Down	0	10			1	1	0		0
CMC Standby	0	10			1	1	0		0
CMC Power Up	0	10			1	1	0		0
P27 Auto Update	0	10		G&C General Procedures	1	1	0		0
P27 Voice Update	0	10			1	1	0		0
GDC Alignment to IMU	0	10			1	1	0		0
SCS Attitude Ref Comp Check	0	10			1	1	0		0
ORDEAL Initialization	0	10			1	1	0		0
Manual SIVB Attitude Control	0	10			1	1	0		0
EMS DV Test	0	10			1	1	0		0
EMS Bias Test	0	10			1	1	0		0
PIPA Bias Test	0	10			1	1	0		0
DAP Data Load	0	10			1	1	0		0
V49 Crew Defined Maneuver	0	10			1	1	0		0
Update REFSMMAT For Burn	0	10			1	1	0		0
Start PTC	0	10			1	1	0		0
Terminate PTC	0	10			1	1	0		0
P20 Rendezvous Navigation	0	10		Navigation	1	1	0		0
P22 Auto optics	0	10			1	1	0		0
P23 Cislunar Navigation	0	10			1	1	0		0
P30 External DV	0	10		Prethrust	1	1	0		0
P40 SPS Thrusting	0	10		Thrusting	1	1	0		0
P41 RCS Thrusting	0	10			1	1	0		0
SCS SPS Thrusting	0	10			1	1	0		0
SCS Thrusting + Slosh Damp Test	0	10			1	1	0		0
SCS SPS Thrusting with MTVC	0	10			1	1	0		0
P40 SPS Thrusting Check	0	10			1	1	0		0
P47 Thrust Monitor Program	0	10			1	1	0		0
P51 IMU Orientation	0	10		Alignments	1	1	0		0
P51 IMU Orientation (Bad Angle)	0	10			1	1	0		0
P52 IMU Realign (Preferred)	0	10			1	1	0		0
P52 IMU Realign (Nominal)	0	10			1	1	0		0
P52 IMU Realign (REFSMMAT)	0	10			1	1	0		0
P52 IMU Realign (Bad Angle)	0	10			1	1	0		0
P53 Backup IMU Orientation	0	10			1	1	0		0
P54 Back IMU Realign (REFSMMAT)	0	10			1	1	0		0
C&WS Operational Check	0	10		Systems Management	1	1	0		0
SM RCS Monitoring Check	0	10			1	1	0		0
CM RCS Monitoring Check	0	10			1	1	0		0
EPS Monitoring Check	0	10			1	1	0		0
ECS Monitoring Check	0	10			1	1	0		0
ECS Redundant Component Check	0	10			1	1	0		0
SPS Monitoring Check	0	10			1	1	0		0
Fuel Cell O2 Purging	0	10			1	1	0		0
Fuel Cell H2 Purging	0	10			1	1	0		0
Waste Water Dump	0	10			1	1	0		0
Battery Charge A	0	10			1	1	0		0
Battery Charge B	0	10			1	1	0		0
Battery Charge C	0	10			1	1	0		0
Terminate Battery Charge	0	10			1	1	0		0
Inverter Changeover	0	10			1	1	0		0
H2 Stratification Test	0	10			1	1	0		0
O2 Stratification Test	0	10			1	1	0		0
Activate Primary Evaporator	0	10			1	1	0		0
Deactivate Primary Evaporator	0	10			1	1	0		0
Activate Secondary Evaporator	0	10			1	1	0		0
Deactivate Secondary Evaporator	0	10			1	1	0		0
Activate Cabin Cold Soak	0	10			1	1	0		0
NCC2	0	10		Mission Specific Procedures	1	1	0		0
Rendezvous Procedures	0	10			1	1	0		0
REFSMMAT For Radiator Test	0	10			1	1	0		0
Begin Radiator Degradation Test	0	10			1	1	0		0
End Radiator Degradation Test	0	10			1	1	0		0
Attitude Hold Test	0	10			1	1	0		0
Begin SPS Thermal Control Test	0	10			1	1	0		0
End SPS Thermal Control Test	0	10			1	1	0		0
Secondary Coolant Loop Test	0	10			1	1	0		0
End Secondary Coolant Loop Test	0	10			1	1	0		0
