Text	Time	Relative Event	Panel	Heading 1	Heading 2	LF	Info	Item	Position	Automatic	Call Group	Fail Group	Remarks						
SPS Evasive Maneuver	15000	MISSION_TIME							-1	1	SPS Evasive Maneuver								
																			
Initiate Battery Charge (Battery A)									-1	1	Battery Charge A								
DOFF SUITS									-1	0									
SUIT CKT RET vlv - open (pull)			380					SuitCircuitReturnValveLever	0	1									
SIVB Slingshot Maneuver	17340	MISSION_TIME							-1	0									
V49E								DSKY V 4 9 E	1	1									
V25E								DSKY V 2 5 E	1	1									
+00200E								DSKY + 0 0 2 0 0 E	1	1									
+29400E								DSKY + 2 9 4 0 0 E	1	1									
+00000E								DSKY + 0 0 0 0 0 E	1	1									
CMC MODE - AUTO								CMCModeSwitch	2	1									
PRO	2	HIDDEN_DELAY						DSKY P	1	1									
PRO	2	HIDDEN_DELAY						DSKY P	1	1									
 F 50 18									-1	0									
ENTER								DSKY E	1	1									
																			
P52 IMU Realign (REFSMMAT)	18000	MISSION_TIME							-1	1	P52 IMU Realign (REFSMMAT)								
Perform GDC Alignment to IMU									-1	1	GDC Alignment to IMU								
																			
"Copy P37 PAD (TLI+11), Zero Trun Bias (Not Implemented Yet)"	19200	MISSION_TIME		MCC Update					-1	0									
																			
Perform P23 Cislunar Navigation (STAR 40 ENH)	19800	MISSION_TIME							-1	1	P23 Cislunar Navigation								
Perform P23 Cislunar Navigation (STAR 40 ENH)									-1	1	P23 Cislunar Navigation								
Perform P23 Cislunar Navigation (STAR 33 EFH)									-1	1	P23 Cislunar Navigation								
Perform P23 Cislunar Navigation (STAR 33 EFH)									-1	1	P23 Cislunar Navigation								
Perform P23 Cislunar Navigation (STAR 42 ENH)									-1	1	P23 Cislunar Navigation								
																			
Wait for MCC-1 Decision Update	21600	MISSION_TIME		MCC-1 Decision					-1	0									
																			
Disable Primary Glycol Evaporator	23400	MISSION_TIME							-1	1	Deactivate Primary Evaporator								
Perform Waste Water Dump									-1	1	Waste Water Dump								
																			
S BD XPNDR - PRIM				Comm Basic Coast Awake			"Panel 3, Comm Switches"	SBandNormalXPDRSwitch	2	1									
S BD PWR AMPL PRIM - PRIM							"Panel 3, Comm Switches"	SBandNormalPwrAmpl1Switch	1	1									
S BD PWR AMPL HI - HI							"Panel 3, Comm Switches"	SBandNormalPwrAmpl2Switch	2	1									
S BD MODE VOICE - VOICE							"Panel 3, Comm Switches"	SBandNormalMode1Switch	2	1									
S BD MODE PCM - PCM							"Panel 3, Comm Switches"	SBandNormalMode2Switch	2	1									
S BD MODE RNG - RNG							"Panel 3, Comm Switches"	SBandNormalMode3Switch	1	1									
S BD AUX TAPE - off (ctr)							"Panel 3, Comm Switches"	SBandAuxSwitch1	1	1									
S BD AUX TV - off (ctr)							"Panel 3, Comm Switches"	SBandAuxSwitch2	1	1									
UP TLM DATA - DATA							"Panel 3, Comm Switches"	UPTLMSwitch1	1	1									
UP TLM CMD - NORM							"Panel 3, Comm Switches"	UPTLMSwitch2	1	1									
VHF AM A - OFF							"Panel 3, Comm Switches"	VHFAMASwitch	1	1									
VHF AM B - OFF							"Panel 3, Comm Switches"	VHFAMBSwitch	1	1									
VHF AM RCV - OFF							"Panel 3, Comm Switches"	RCVOnlySwitch	1	1									
VHF RNG - OFF							"Panel 3, Comm Switches"	VHFRangingSwitch	0	1									
TAPE RCDR PCM - PCM/ANLG							"Panel 3, Comm Switches"	TapeRecorderPCMSwitch	1	1									
TAPE RCDR RCD - RCD							"Panel 3, Comm Switches"	TapeRecorderRecordSwitch	2	1									
TAPE RCDR FWD - off (ctr)							"Panel 3, Comm Switches"	TapeRecorderForwardSwitch	1	1									
SCE PWR - NORM							"Panel 3, Comm Switches"	SCESwitch	2	1									
PMP PWR - NORM							"Panel 3, Comm Switches"	PMPSwitch	2	1									
PCM BIT RATE - LOW							"Panel 3, Comm Switches"	PCMBitRateSwitch	0	1									
HI GAIN ANT PWR - PWR							"Panel 2, High Gain Controls"	GHAPowerSwitch	2	1									
HI GAIN ANT TRACK - MAN							"Panel 2, High Gain Controls"	GHATrackSwitch	1	1									
HI GAIN ANT BEAM - WIDE							"Panel 2, High Gain Controls"	GHABeamSwitch	2	1									
HI GAIN ANT SERVO - PRIM							"Panel 2, High Gain Controls"	GHAServoElecSwitch	1	1			Apollo 7?						
																			
"If MCC-1 is scrubbed or can be made with PTC REFSMMAT, click PRO, otherwise click FAIL"	25200	MISSION_TIME							-1	0	MCC1 PTC Uplink								
																			
SYS TEST 1 - 4	30600	MISSION_TIME	101		Battery Vent			LeftSystemTestRotarySwitch	4	1									
SYS TEST 2 - A								RightSystemTestRotarySwitch	0	1									
BAT VENT vlv - VENT			252					WasteMGMTBatteryVentRotary	1	1									
BAT VENT vlv - CLOSE	10	HIDDEN_DELAY	252					WasteMGMTBatteryVentRotary	0	1									
																			
Verify SURGE TK PRESS ind & REPRESS O2 PRESS ind - 865-935 psia					Terminate Repress Pkg Fill				-1	0									
REPRESS PKG vlv - OFF								OxygenRepressPackageRotary	1	1									
																			
Fuel Cell O2 Purging	33600	MISSION_TIME							-1	1	Fuel Cell O2 Purging								
																			
MCC-1 (click PRO or click FAIL to bypass if scrubbed)	36000	MISSION_TIME							-1	0	MCC-1	MCC-1 Scrubbed							
																			
